字頭,字頭,補充,古韻,擬音,,,,
疴（亦作“痾”）,疴,（亦作“痾”）,歌,ʌl,,,,
疴（亦作“痾”）,疴,（亦作“痾”）,歌,ʌl,,,,
科,科,,歌,ʌl,,,,
窠,窠,,歌,ʌl,,,,
薖,薖,,歌,ʌl,,,,
犐,犐,,歌,ʌl,,,,
髁,髁,,歌,ʌl,,,,
顆,顆,,歌,ʌl,,,,
榼,榼,,葉,ʌp,,,,
磕,磕,,葉,ʌp,,,,
礚（同“磕”）,礚,（同“磕”）,葉,ʌp,,,,
㱿*（殼）,㱿*,（殼）,屋,ɒk,,,,
𡉉（殼）,𡉉,（殼）,屋,ɒk,,,,
可,可,,歌,ʌl,,,,
坷,坷,,歌,ʌl,,,,
敤（㪙）,敤,（㪙）,歌,ʌl,,,,
渴,渴,,月,ʌt,,,,
㵣,㵣,,月,ʌt,,,,
嵑,嵑,,月,ʌt,,,,
嶱,嶱,,月,ʌt,,,,
毼,毼,,月,ʌt,,,,
刻,刻,,職,ɔɪk,,,,
克,克,,職,ɔɪk,,,,
剋,剋,,職,ɔɪk,,,,
勊,勊,,職,ɔɪk,,,,
恪,恪,,鐸,ʌk,,,,
愙,愙,,鐸,ʌk,,,,
客,客,,鐸,ʌk,,,,
礊,礊,,錫,ək,,,,
𩱝（𩱘）,𩱝,（𩱘）,錫,ək,,,,
課,課,,歌,ʌl,,,,
堁,堁,,歌,ʌl,,,,
嗑（嗑嗑）,嗑,（嗑嗑）,葉,ʌp,,,,
㕎,㕎,,葉,ʌp,,,,
溘,溘,,葉,ʌp,,,,
訶,訶,,歌,ʌl,,,,
呵,呵,,歌,ʌl,,,,
抲,抲,,歌,ʌl,,,,
𠀀（反“丂”也）,𠀀,（反“丂”也）,歌,ʌl,,,,
欱（喝）,欱,（喝）,緝,ɔp,,,,
閡（阻礙）,閡,（阻礙）,職,ɔɪk,,,,
劾,劾,,職,ɔɪk,,,,
核,核,,職,ɔɪk,,,,
涸,涸,,鐸,ʌk,,,,
貈,貈,,鐸,ʌk,,,,
貉（獸名）,貉,（獸名）,鐸,ʌk,,,,
狢,狢,,鐸,ʌk,,,,
䶅,䶅,,鐸,ʌk,,,,
垎,垎,,鐸,ʌk,,,,
㮝,㮝,,鐸,ʌk,,,,
覈,覈,,錫,ək,,,,
䃒,䃒,,錫,ək,,,,
翮,翮,,錫,ək,,,,
礉,礉,,錫,ək,,,,
紇,紇,,物,ɔt,,,,
齕,齕,,物,ɔt,,,,
麧,麧,,物,ɔt,,,,
𥝖,𥝖,,物,ɔt,,,,
何（代詞）,何,（代詞）,歌,ʌl,,,,
河,河,,歌,ʌl,,,,
荷（芙蕖）,荷,（芙蕖）,歌,ʌl,,,,
渮（水名）,渮,（水名）,歌,ʌl,,,,
渮（水名）,渮,（水名）,歌,ʌl,,,,
禾,禾,,歌,ʌl,,,,
和（咊，和諧）,和,（咊，和諧）,歌,ʌl,,,,
龢,龢,,歌,ʌl,,,,
盉,盉,,歌,ʌl,,,,
曷,曷,,月,ʌt,,,,
鶡,鶡,,月,ʌt,,,,
蝎（木中蛀蟲）,蝎,（木中蛀蟲）,月,ʌt,,,,
餲（食品）,餲,（食品）,月,ʌt,,,,
𩩲,𩩲,,月,ʌt,,,,
害（曷）,害,（曷）,月,ʌt,,,,
合（開合）,合,（開合）,緝,ɔp,,,,
郃,郃,,緝,ɔp,,,,
䢔,䢔,,緝,ɔp,,,,
㭘,㭘,,緝,ɔp,,,,
詥,詥,,緝,ɔp,,,,
匌,匌,,緝,ɔp,,,,
盍,盍,,葉,ʌp,,,,
闔,闔,,葉,ʌp,,,,
嗑（睡嗑）,嗑,（睡嗑）,葉,ʌp,,,,
𨜴,𨜴,,葉,ʌp,,,,
盇,盇,,葉,ʌp,,,,
謞（熇）,謞,（熇）,藥,ok,,,,
嗃,嗃,,藥,ok,,,,
熇,熇,,藥,ok,,,,
鶴,鶴,,藥,ok,,,,
䮤,䮤,,藥,ok,,,,
翯,翯,,藥,ok,,,,
㿥,㿥,,藥,ok,,,,
壑（㕡）,壑,（㕡）,鐸,ʌk,,,,
皬,皬,,鐸,ʌk,,,,
赫,赫,,鐸,ʌk,,,,
嚇,嚇,,鐸,ʌk,,,,
荷（負荷）,荷,（負荷）,歌,ʌl,,,,
何（負）,何,（負）,歌,ʌl,,,,
賀,賀,,歌,ʌl,,,,
和（跟着唱）,和,（跟着唱）,歌,ʌl,,,,
喝（恐嚇）,喝,（恐嚇）,月,ʌt,,,,
褐,褐,,月,ʌt,,,,
遮,遮,,魚,ʌ,,,,
㭙,㭙,,職,ɔɪk,,,,
磔,磔,,鐸,ʌk,,,,
矺,矺,,鐸,ʌk,,,,
乇,乇,,鐸,ʌk,,,,
謫,謫,,錫,ək,,,,
讁,讁,,錫,ək,,,,
𤟍,𤟍,,錫,ək,,,,
哲,哲,,月,ʌt,,,,
悊,悊,,月,ʌt,,,,
喆,喆,,月,ʌt,,,,
轍,轍,,月,ʌt,,,,
晢,晢,,月,ʌt,,,,
晣,晣,,月,ʌt,,,,
折（折斷）,折,（折斷）,月,ʌt,,,,
蟄,蟄,,緝,ɔp,,,,
䐲,䐲,,緝,ɔp,,,,
慴,慴,,緝,ɔp,,,,
慹（慹然）,慹,（慹然）,緝,ɔp,,,,
摺（摺叠）,摺,（摺叠）,緝,ɔp,,,,
謺,謺,,緝,ɔp,,,,
讋,讋,,葉,ʌp,,,,
懾,懾,,葉,ʌp,,,,
𣠞,𣠞,,葉,ʌp,,,,
襵,襵,,葉,ʌp,,,,
輒,輒,,葉,ʌp,,,,
𦔮（耴）,𦔮,（耴）,葉,ʌp,,,,
𢬴,𢬴,,葉,ʌp,,,,
鮿,鮿,,葉,ʌp,,,,
㡇,㡇,,葉,ʌp,,,,
銸,銸,,葉,ʌp,,,,
䐑,䐑,,葉,ʌp,,,,
㞏,㞏,,葉,ʌp,,,,
者,者,,魚,ʌ,,,,
赭,赭,,魚,ʌ,,,,
柘,柘,,鐸,ʌk,,,,
樜,樜,,鐸,ʌk,,,,
䗪（蟅）,䗪,（蟅）,鐸,ʌk,,,,
嗻,嗻,,鐸,ʌk,,,,
蔗,蔗,,鐸,ʌk,,,,
浙,浙,,月,ʌt,,,,
車,車,,魚,ʌ,,,,
䞣,䞣,,鐸,ʌk,,,,
𡍩（坼）,𡍩,（坼）,鐸,ʌk,,,,
坼,坼,,鐸,ʌk,,,,
拆*（裂開）,拆*,（裂開）,鐸,ʌk,,,,
屮（草初生）,屮,（草初生）,月,ʌt,,,,
撤,撤,,月,ʌt,,,,
硩,硩,,月,ʌt,,,,
徹,徹,,月,ʌt,,,,
聅,聅,,月,ʌt,,,,
澈,澈,,月,ʌt,,,,
掣,掣,,月,ʌt,,,,
呫（呫囁）,呫,（呫囁）,葉,ʌp,,,,
㒤,㒤,,葉,ʌp,,,,
奢,奢,,魚,ʌ,,,,
賖,賖,,魚,ʌ,,,,
畬（火耕）,畬,（火耕）,魚,ʌ,,,,
奓（奢）,奓,（奢）,魚,ʌ,,,,
鉈,鉈,,歌,ʌl,,,,
蛇,蛇,,歌,ʌl,,,,
虵,虵,,歌,ʌl,,,,
舌,舌,,月,ʌt,,,,
蛥,蛥,,月,ʌt,,,,
𢶅,𢶅,,月,ʌt,,,,
揲,揲,,葉,ʌp,,,,
揲,揲,,葉,ʌp,,,,
捨,捨,,魚,ʌ,,,,
舍（捨，放棄）,舍,（捨，放棄）,魚,ʌ,,,,
舍（客舍）,舍,（客舍）,魚,ʌ,,,,
騇,騇,,魚,ʌ,,,,
涻,涻,,魚,ʌ,,,,
社,社,,魚,ʌ,,,,
赦,赦,,鐸,ʌk,,,,
射（發射）,射,（發射）,鐸,ʌk,,,,
䠶,䠶,,鐸,ʌk,,,,
麝,麝,,鐸,ʌk,,,,
設,設,,月,ʌt,,,,
蔎,蔎,,月,ʌt,,,,
拾（躡足上升）,拾,（躡足上升）,緝,ɔp,,,,
歙（縣名）,歙,（縣名）,緝,ɔp,,,,
攝,攝,,葉,ʌp,,,,
灄,灄,,葉,ʌp,,,,
葉*（邑名，姓）,葉*,（邑名，姓）,葉,ʌp,,,,
欇,欇,,葉,ʌp,,,,
韘,韘,,葉,ʌp,,,,
涉,涉,,葉,ʌp,,,,
惹,惹,,鐸,ʌk,,,,
熱,熱,,月,ʌt,,,,
則,則,,職,ɔɪk,,,,
擇,擇,,鐸,ʌk,,,,
澤,澤,,鐸,ʌk,,,,
蠌,蠌,,鐸,ʌk,,,,
襗,襗,,鐸,ʌk,,,,
迮,迮,,鐸,ʌk,,,,
笮,笮,,鐸,ʌk,,,,
㳻,㳻,,鐸,ʌk,,,,
諎,諎,,鐸,ʌk,,,,
喑,喑,,鐸,ʌk,,,,
措（夾住）,措,（夾住）,鐸,ʌk,,,,
柞（伐木）,柞,（伐木）,鐸,ʌk,,,,
咋（大聲）,咋,（大聲）,鐸,ʌk,,,,
齰,齰,,鐸,ʌk,,,,
齚,齚,,鐸,ʌk,,,,
賾,賾,,錫,ək,,,,
嘖（呼聲）,嘖,（呼聲）,錫,ək,,,,
責,責,,錫,ək,,,,
簀,簀,,錫,ək,,,,
幘,幘,,錫,ək,,,,
嘖（嘖嘖）,嘖,（嘖嘖）,錫,ək,,,,
謮,謮,,錫,ək,,,,
嫧,嫧,,錫,ək,,,,
皟,皟,,錫,ək,,,,
昃,昃,,職,ɔɪk,,,,
仄,仄,,職,ɔɪk,,,,
萴,萴,,職,ɔɪk,,,,
夨,夨,,職,ɔɪk,,,,
崱,崱,,職,ɔɪk,,,,
廁（廁所）,廁,（廁所）,職,ɔɪk,,,,
側,側,,職,ɔɪk,,,,
廁（側，廁足）,廁,（側，廁足）,職,ɔɪk,,,,
測,測,,職,ɔɪk,,,,
惻,惻,,職,ɔɪk,,,,
畟,畟,,職,ɔɪk,,,,
𡍫,𡍫,,職,ɔɪk,,,,
墄,墄,,覺,ɔk,,,,
簎,簎,,鐸,ʌk,,,,
矠,矠,,鐸,ʌk,,,,
策,策,,錫,ək,,,,
册（冊）,册,（冊）,錫,ək,,,,
䶦,䶦,,錫,ək,,,,
筴,筴,,錫,ək,,,,
𣌧,𣌧,,錫,ək,,,,
䔩,䔩,,錫,ək,,,,
𢕬,𢕬,,緝,ɔp,,,,
塞（𡫳，充塞）,塞,（𡫳，充塞）,職,ɔɪk,,,,
㥶（𢥛）,㥶,（𢥛）,職,ɔɪk,,,,
色,色,,職,ɔɪk,,,,
㱇,㱇,,職,ɔɪk,,,,
嗇,嗇,,職,ɔɪk,,,,
穡,穡,,職,ɔɪk,,,,
薔（草名）,薔,（草名）,職,ɔɪk,,,,
轖,轖,,職,ɔɪk,,,,
濇,濇,,職,ɔɪk,,,,
嬙,嬙,,職,ɔɪk,,,,
愬（懼）,愬,（懼）,鐸,ʌk,,,,
栜,栜,,錫,ək,,,,
洓,洓,,錫,ək,,,,
瑟,瑟,,質,ət,,,,
飋,飋,,質,ət,,,,
蝨*,蝨*,,質,ət,,,,
璱,璱,,質,ət,,,,
歰,歰,,緝,ɔp,,,,
澀,澀,,緝,ɔp,,,,
鈒,鈒,,緝,ɔp,,,,
譅,譅,,緝,ɔp,,,,
德,德,,職,ɔɪk,,,,
惪（悳㥁𢛳，古文“德”）,惪,（悳㥁𢛳，古文“德”）,職,ɔɪk,,,,
得（𢔶）,得,（𢔶）,職,ɔɪk,,,,
䙷（㝵，古文“得”）,䙷,（㝵，古文“得”）,職,ɔɪk,,,,
忒,忒,,職,ɔɪk,,,,
慝,慝,,職,ɔɪk,,,,
貣,貣,,職,ɔɪk,,,,
𢘋,𢘋,,職,ɔɪk,,,,
特,特,,職,ɔɪk,,,,
螣（害蟲）,螣,（害蟲）,職,ɔɪk,,,,
犆（特）,犆,（特）,職,ɔɪk,,,,
蟘（螣）,蟘,（螣）,職,ɔɪk,,,,
疒（𤕫）,疒,（𤕫）,錫,ək,,,,
䭆,䭆,,錫,ək,,,,
訥,訥,,緝,ɔp,,,,
㕯,㕯,,緝,ɔp,,,,
呐（訥，語遲鈍）,呐,（訥，語遲鈍）,緝,ɔp,,,,
勒,勒,,職,ɔɪk,,,,
扐,扐,,職,ɔɪk,,,,
仂,仂,,職,ɔɪk,,,,
艻,艻,,職,ɔɪk,,,,
朸,朸,,職,ɔɪk,,,,
玏,玏,,職,ɔɪk,,,,
泐,泐,,職,ɔɪk,,,,
㔹,㔹,,職,ɔɪk,,,,
阞,阞,,職,ɔɪk,,,,
𤨙,𤨙,,職,ɔɪk,,,,
樂（快樂）,樂,（快樂）,藥,ok,,,,
剥（剥開）,剥,（剥開）,屋,ɒk,,,,
波,波,,歌,ʌl,,,,
紴,紴,,歌,ʌl,,,,
嶓,嶓,,歌,ʌl,,,,
番（番番，勇武貌）,番,（番番，勇武貌）,歌,ʌl,,,,
碆,碆,,歌,ʌl,,,,
磻（石箭鏃）,磻,（石箭鏃）,歌,ʌl,,,,
播（播種）,播,（播種）,歌,ʌl,,,,
撥,撥,,月,ʌt,,,,
癶,癶,,月,ʌt,,,,
袚,袚,,月,ʌt,,,,
䳊,䳊,,月,ʌt,,,,
䢌,䢌,,月,ʌt,,,,
襏,襏,,月,ʌt,,,,
鮁,鮁,,月,ʌt,,,,
發（魚躍聲）,發,（魚躍聲）,月,ʌt,,,,
墢,墢,,月,ʌt,,,,
蹳,蹳,,月,ʌt,,,,
蔔,蔔,,職,ɔɪk,,,,
僰,僰,,職,ɔɪk,,,,
趦,趦,,職,ɔɪk,,,,
踣,踣,,職,ɔɪk,,,,
䞳,䞳,,職,ɔɪk,,,,
䵗,䵗,,職,ɔɪk,,,,
襮,襮,,藥,ok,,,,
𦃙,𦃙,,藥,ok,,,,
駮,駮,,藥,ok,,,,
駁,駁,,藥,ok,,,,
嚗,嚗,,藥,ok,,,,
𥭖,𥭖,,藥,ok,,,,
爆（爆爍）,爆,（爆爍）,藥,ok,,,,
瓝,瓝,,藥,ok,,,,
㼎,㼎,,藥,ok,,,,
彴,彴,,藥,ok,,,,
仢,仢,,藥,ok,,,,
犦,犦,,藥,ok,,,,
𢷏,𢷏,,屋,ɒk,,,,
豰（小豬）,豰,（小豬）,屋,ɒk,,,,
博,博,,鐸,ʌk,,,,
髆,髆,,鐸,ʌk,,,,
搏,搏,,鐸,ʌk,,,,
鎛,鎛,,鐸,ʌk,,,,
㗘,㗘,,鐸,ʌk,,,,
𪙍,𪙍,,鐸,ʌk,,,,
簙,簙,,鐸,ʌk,,,,
猼,猼,,鐸,ʌk,,,,
䍸,䍸,,鐸,ʌk,,,,
𩌏,𩌏,,鐸,ʌk,,,,
泊,泊,,鐸,ʌk,,,,
亳,亳,,鐸,ʌk,,,,
薄（林薄）,薄,（林薄）,鐸,ʌk,,,,
礴,礴,,鐸,ʌk,,,,
鑮,鑮,,鐸,ʌk,,,,
踄,踄,,鐸,ʌk,,,,
怕（淡泊）,怕,（淡泊）,鐸,ʌk,,,,
蒲（蒲姑）,蒲,（蒲姑）,鐸,ʌk,,,,
伯,伯,,鐸,ʌk,,,,
帛,帛,,鐸,ʌk,,,,
鮊,鮊,,鐸,ʌk,,,,
欂,欂,,鐸,ʌk,,,,
𦼭,𦼭,,鐸,ʌk,,,,
勃,勃,,物,ɔt,,,,
渤,渤,,物,ɔt,,,,
𩣡,𩣡,,物,ɔt,,,,
𩱚,𩱚,,物,ɔt,,,,
郣,郣,,物,ɔt,,,,
浡,浡,,物,ɔt,,,,
㪍,㪍,,物,ɔt,,,,
桲,桲,,物,ɔt,,,,
孛（臉變色）,孛,（臉變色）,物,ɔt,,,,
艴,艴,,物,ɔt,,,,
脖,脖,,物,ɔt,,,,
侼,侼,,物,ɔt,,,,
犻,犻,,月,ʌt,,,,
癹,癹,,月,ʌt,,,,
跛（行不正）,跛,（行不正）,歌,ʌl,,,,
簸,簸,,歌,ʌl,,,,
㝿,㝿,,歌,ʌl,,,,
播（摇，揚）,播,（摇，揚）,歌,ʌl,,,,
檗,檗,,錫,ək,,,,
擘,擘,,錫,ək,,,,
薜（藥材）,薜,（藥材）,錫,ək,,,,
糪,糪,,錫,ək,,,,
播*（播種）,播*,（播種）,歌,ʌl,,,,
譒,譒,,歌,ʌl,,,,
頗（頭偏，相當地）,頗,（頭偏，相當地）,歌,ʌl,,,,
坡,坡,,歌,ʌl,,,,
婆,婆,,歌,ʌl,,,,
鄱,鄱,,歌,ʌl,,,,
皤,皤,,歌,ʌl,,,,
繁（姓）,繁,（姓）,歌,ʌl,,,,
叵,叵,,歌,ʌl,,,,
駊,駊,,歌,ʌl,,,,
粕,粕,,鐸,ʌk,,,,
膊（暴露）,膊,（暴露）,鐸,ʌk,,,,
䪙,䪙,,鐸,ʌk,,,,
胉,胉,,鐸,ʌk,,,,
蒪,蒪,,鐸,ʌk,,,,
𦥭,𦥭,,鐸,ʌk,,,,
狛,狛,,鐸,ʌk,,,,
䨣,䨣,,鐸,ʌk,,,,
迫,迫,,鐸,ʌk,,,,
敀,敀,,鐸,ʌk,,,,
霸（月始生）,霸,（月始生）,鐸,ʌk,,,,
魄（魂魄）,魄,（魂魄）,鐸,ʌk,,,,
珀,珀,,鐸,ʌk,,,,
洦,洦,,鐸,ʌk,,,,
昢,昢,,物,ɔt,,,,
破,破,,歌,ʌl,,,,
鏺,鏺,,月,ʌt,,,,
㧊,㧊,,月,ʌt,,,,
䣪,䣪,,月,ʌt,,,,
模,模,,魚,ʌ,,,,
橅,橅,,魚,ʌ,,,,
嫫（𡠜）,嫫,（𡠜）,魚,ʌ,,,,
謨,謨,,魚,ʌ,,,,
摹（規，倣）,摹,（規，倣）,魚,ʌ,,,,
譕（謨）,譕,（謨）,魚,ʌ,,,,
獏,獏,,魚,ʌ,,,,
膜,膜,,鐸,ʌk,,,,
摩,摩,,歌,ʌl,,,,
䯢,䯢,,歌,ʌl,,,,
磨（磨礪）,磨,（磨礪）,歌,ʌl,,,,
劘,劘,,歌,ʌl,,,,
麽（細小）,麽,（細小）,歌,ʌl,,,,
墨,墨,,職,ɔɪk,,,,
默,默,,職,ɔɪk,,,,
䘃,䘃,,職,ɔɪk,,,,
纆,纆,,職,ɔɪk,,,,
嘿,嘿,,職,ɔɪk,,,,
嚜,嚜,,職,ɔɪk,,,,
蟔,蟔,,職,ɔɪk,,,,
嫼,嫼,,職,ɔɪk,,,,
莫,莫,,鐸,ʌk,,,,
鄚,鄚,,鐸,ʌk,,,,
鏌,鏌,,鐸,ʌk,,,,
漠,漠,,鐸,ʌk,,,,
瘼,瘼,,鐸,ʌk,,,,
寞,寞,,鐸,ʌk,,,,
嗼,嗼,,鐸,ʌk,,,,
𣩎,𣩎,,鐸,ʌk,,,,
㱳,㱳,,鐸,ʌk,,,,
縸,縸,,鐸,ʌk,,,,
陌,陌,,鐸,ʌk,,,,
𡖶,𡖶,,鐸,ʌk,,,,
貘,貘,,鐸,ʌk,,,,
貊,貊,,鐸,ʌk,,,,
驀,驀,,鐸,ʌk,,,,
貉（同“貊”，東北部族名）,貉,（同“貊”，東北部族名）,鐸,ʌk,,,,
𧖴,𧖴,,錫,ək,,,,
眽,眽,,錫,ək,,,,
覛,覛,,錫,ək,,,,
脈,脈,,錫,ək,,,,
没,没,,物,ɔt,,,,
殁,殁,,物,ɔt,,,,
𤤄,𤤄,,物,ɔt,,,,
𩑦,𩑦,,物,ɔt,,,,
𠬛（𠬸）,𠬛,（𠬸）,物,ɔt,,,,
歾,歾,,物,ɔt,,,,
圽,圽,,物,ɔt,,,,
𠬸,𠬸,,物,ɔt,,,,
磨（磑）,磨,（磑）,歌,ʌl,,,,
䃺,䃺,,歌,ʌl,,,,
末,末,,月,ʌt,,,,
䬴,䬴,,月,ʌt,,,,
秣,秣,,月,ʌt,,,,
韎,韎,,月,ʌt,,,,
𥄕,𥄕,,月,ʌt,,,,
𥽘,𥽘,,月,ʌt,,,,
眜,眜,,月,ʌt,,,,
妺,妺,,月,ʌt,,,,
瀎（瀎泧）,瀎,（瀎泧）,月,ʌt,,,,
沫,沫,,月,ʌt,,,,
𥿉（腰巾）,𥿉,（腰巾）,月,ʌt,,,,
倭（倭入）,倭,（倭入）,歌,ʌl,,,,
涹,涹,,歌,ʌl,,,,
踒,踒,,歌,ʌl,,,,
𠷏,𠷏,,歌,ʌl,,,,
蝸（蝸牛）,蝸,（蝸牛）,歌,ʌl,,,,
我,我,,歌,ʌl,,,,
騀,騀,,歌,ʌl,,,,
婐,婐,,歌,ʌl,,,,
䮸,䮸,,覺,ɔk,,,,
箹,箹,,藥,ok,,,,
沃,沃,,藥,ok,,,,
鋈,鋈,,藥,ok,,,,
渥,渥,,屋,ɒk,,,,
握,握,,屋,ɒk,,,,
偓,偓,,屋,ɒk,,,,
幄,幄,,屋,ɒk,,,,
楃,楃,,屋,ɒk,,,,
喔（喔𪘏）,喔,（喔𪘏）,屋,ɒk,,,,
齷,齷,,屋,ɒk,,,,
雘*,雘*,,鐸,ʌk,,,,
瓁,瓁,,鐸,ʌk,,,,
擭（捕取）,擭,（捕取）,鐸,ʌk,,,,
臥（卧）,臥,（卧）,歌,ʌl,,,,
斡（旋轉）,斡,（旋轉）,月,ʌt,,,,
捾,捾,,月,ʌt,,,,
䁊,䁊,,月,ʌt,,,,
𥄗（䀑）,𥄗,（䀑）,月,ʌt,,,,
郭,郭,,鐸,ʌk,,,,
崞,崞,,鐸,ʌk,,,,
埻（埻端）,埻,（埻端）,鐸,ʌk,,,,
過（地名）,過,（地名）,歌,ʌl,,,,
渦（水名）,渦,（水名）,歌,ʌl,,,,
鍋（車釭）,鍋,（車釭）,歌,ʌl,,,,
楇,楇,,歌,ʌl,,,,
瘑,瘑,,歌,ʌl,,,,
𩰫,𩰫,,歌,ʌl,,,,
濄,濄,,歌,ʌl,,,,
活（活活，水流聲）,活,（活活，水流聲）,月,ʌt,,,,
聒,聒,,月,ʌt,,,,
國,國,,職,ɔɪk,,,,
蟈,蟈,,職,ɔɪk,,,,
馘,馘,,職,ɔɪk,,,,
聝,聝,,職,ɔɪk,,,,
膕,膕,,職,ɔɪk,,,,
簂,簂,,職,ɔɪk,,,,
虢,虢,,鐸,ʌk,,,,
㶁,㶁,,鐸,ʌk,,,,
椁,椁,,鐸,ʌk,,,,
槨,槨,,鐸,ʌk,,,,
果,果,,歌,ʌl,,,,
菓,菓,,歌,ʌl,,,,
輠,輠,,歌,ʌl,,,,
鐹,鐹,,歌,ʌl,,,,
裹,裹,,歌,ʌl,,,,
蜾,蜾,,歌,ʌl,,,,
淉,淉,,歌,ʌl,,,,
𧒘（蜾）,𧒘,（蜾）,歌,ʌl,,,,
過（經過）,過,（經過）,歌,ʌl,,,,
廓,廓,,鐸,ʌk,,,,
鞹,鞹,,鐸,ʌk,,,,
漷,漷,,鐸,ʌk,,,,
鞟,鞟,,鐸,ʌk,,,,
彉,彉,,鐸,ʌk,,,,
彍,彍,,鐸,ʌk,,,,
擴,擴,,鐸,ʌk,,,,
括,括,,月,ʌt,,,,
髺,髺,,月,ʌt,,,,
栝,栝,,月,ʌt,,,,
适,适,,月,ʌt,,,,
銛（銽）,銛,（銽）,月,ʌt,,,,
頢,頢,,月,ʌt,,,,
懖,懖,,月,ʌt,,,,
萿,萿,,月,ʌt,,,,
𠯑,𠯑,,月,ʌt,,,,
桰（栝）,桰,（栝）,月,ʌt,,,,
𪗽,𪗽,,月,ʌt,,,,
闊,闊,,月,ʌt,,,,
蛞,蛞,,月,ʌt,,,,
活,活,,月,ʌt,,,,
䄆,䄆,,月,ʌt,,,,
鬠,鬠,,月,ʌt,,,,
佸,佸,,月,ʌt,,,,
秳,秳,,月,ʌt,,,,
姡,姡,,月,ʌt,,,,
火,火,,微,ɔl,,,,
邩,邩,,微,ɔl,,,,
夥（多）,夥,（多）,歌,ʌl,,,,
或,或,,職,ɔɪk,,,,
惑,惑,,職,ɔɪk,,,,
𡿿,𡿿,,職,ɔɪk,,,,
𦞦,𦞦,,鐸,ʌk,,,,
壑*,壑*,,鐸,ʌk,,,,
蠚,蠚,,鐸,ʌk,,,,
矐,矐,,鐸,ʌk,,,,
雘,雘,,鐸,ʌk,,,,
蠖（尺蠖）,蠖,（尺蠖）,鐸,ʌk,,,,
霍,霍,,鐸,ʌk,,,,
靃,靃,,鐸,ʌk,,,,
霩,霩,,鐸,ʌk,,,,
䁨,䁨,,鐸,ʌk,,,,
藿,藿,,鐸,ʌk,,,,
瀖,瀖,,鐸,ʌk,,,,
𧆑,𧆑,,鐸,ʌk,,,,
臛,臛,,鐸,ʌk,,,,
穫,穫,,鐸,ʌk,,,,
鑊,鑊,,鐸,ʌk,,,,
濩（煮也）,濩,（煮也）,鐸,ʌk,,,,
檴,檴,,鐸,ʌk,,,,
擭（捕獸器）,擭,（捕獸器）,鐸,ʌk,,,,
獲,獲,,鐸,ʌk,,,,
彠,彠,,鐸,ʌk,,,,
捇,捇,,鐸,ʌk,,,,
嚄,嚄,,鐸,ʌk,,,,
蒦,蒦,,鐸,ʌk,,,,
謋,謋,,鐸,ʌk,,,,
矆,矆,,鐸,ʌk,,,,
騞,騞,,錫,ək,,,,
禍,禍,,歌,ʌl,,,,
𣄸,𣄸,,歌,ʌl,,,,
貨,貨,,歌,ʌl,,,,
䴹,䴹,,歌,ʌl,,,,
豁（開闊）,豁,（開闊）,月,ʌt,,,,
奯,奯,,月,ʌt,,,,
濊（濊濊）,濊,（濊濊）,月,ʌt,,,,
𤃴,𤃴,,月,ʌt,,,,
泧（泧泧）,泧,（泧泧）,月,ʌt,,,,
眓,眓,,月,ʌt,,,,
卓,卓,,藥,ok,,,,
倬,倬,,藥,ok,,,,
穛,穛,,藥,ok,,,,
𥼚,𥼚,,藥,ok,,,,
穱,穱,,藥,ok,,,,
涿（地名）,涿,（地名）,屋,ɒk,,,,
捉,捉,,屋,ɒk,,,,
拙,拙,,物,ɔt,,,,
棁（梲，梁上短柱）,棁,（梲，梁上短柱）,月,ʌt,,,,
棳,棳,,月,ʌt,,,,
𥢔,𥢔,,藥,ok,,,,
晫,晫,,藥,ok,,,,
擢,擢,,藥,ok,,,,
濯,濯,,藥,ok,,,,
鵫,鵫,,藥,ok,,,,
嬥,嬥,,藥,ok,,,,
㺟,㺟,,藥,ok,,,,
蠗,蠗,,藥,ok,,,,
丵,丵,,藥,ok,,,,
灂,灂,,藥,ok,,,,
汋（激水聲）,汋,（激水聲）,藥,ok,,,,
灼,灼,,藥,ok,,,,
勺（取）,勺,（取）,藥,ok,,,,
酌,酌,,藥,ok,,,,
繳（弓繳）,繳,（弓繳）,藥,ok,,,,
焯,焯,,藥,ok,,,,
䅵,䅵,,藥,ok,,,,
䶂,䶂,,藥,ok,,,,
禚,禚,,藥,ok,,,,
斲,斲,,屋,ɒk,,,,
諑,諑,,屋,ɒk,,,,
椓,椓,,屋,ɒk,,,,
琢,琢,,屋,ɒk,,,,
啄,啄,,屋,ɒk,,,,
歜,歜,,屋,ɒk,,,,
噣,噣,,屋,ɒk,,,,
𢽴,𢽴,,屋,ɒk,,,,
㧻,㧻,,屋,ɒk,,,,
濁,濁,,屋,ɒk,,,,
鐲,鐲,,屋,ɒk,,,,
鸀,鸀,,屋,ɒk,,,,
躅（足跡）,躅,（足跡）,屋,ɒk,,,,
浞,浞,,屋,ɒk,,,,
鷟,鷟,,屋,ɒk,,,,
捔（刺取）,捔,（刺取）,屋,ɒk,,,,
𧢼,𧢼,,屋,ɒk,,,,
籱,籱,,鐸,ʌk,,,,
籗,籗,,鐸,ʌk,,,,
著（附着）,著,（附着）,鐸,ʌk,,,,
𥗁,𥗁,,鐸,ʌk,,,,
櫡（斫類工具）,櫡,（斫類工具）,鐸,ʌk,,,,
斮,斮,,鐸,ʌk,,,,
斫,斫,,鐸,ʌk,,,,
茁,茁,,物,ɔt,,,,
炪,炪,,物,ɔt,,,,
