字頭,字頭,補充,古韻,擬音,,,,
𠟎,𠟎,,鐸,ʌk,,,,
𧊜,𧊜,,鐸,ʌk,,,,
遌,遌,,鐸,ʌk,,,,
萼,萼,,鐸,ʌk,,,,
鍔,鍔,,鐸,ʌk,,,,
崿,崿,,鐸,ʌk,,,,
鶚,鶚,,鐸,ʌk,,,,
噩,噩,,鐸,ʌk,,,,
堮,堮,,鐸,ʌk,,,,
遻,遻,,鐸,ʌk,,,,
㓵,㓵,,鐸,ʌk,,,,
啞（笑聲）,啞,（笑聲）,鐸,ʌk,,,,
戹,戹,,錫,ək,,,,
厄,厄,,錫,ək,,,,
搤,搤,,錫,ək,,,,
㧖（扼）,㧖,（扼）,錫,ək,,,,
軶,軶,,錫,ək,,,,
阸（阨）,阸,（阨）,錫,ək,,,,
呝,呝,,錫,ək,,,,
蚅,蚅,,錫,ək,,,,
𩚬,𩚬,,錫,ək,,,,
阨,阨,,錫,ək,,,,
搹,搹,,錫,ək,,,,
扼,扼,,錫,ək,,,,
餓,餓,,歌,ʌl,,,,
遏,遏,,月,ʌt,,,,
齃,齃,,月,ʌt,,,,
頞,頞,,月,ʌt,,,,
堨（土堰）,堨,（土堰）,月,ʌt,,,,
閼（阻塞）,閼,（阻塞）,月,ʌt,,,,
薛,薛,,月,ʌt,,,,
屵,屵,,月,ʌt,,,,
𣡌,𣡌,,月,ʌt,,,,
𣎴,𣎴,,月,ʌt,,,,
𠲗,𠲗,,月,ʌt,,,,
歺（歹𣦵，去肉殘骨）,歺,（歹𣦵，去肉殘骨）,月,ʌt,,,,
𠱫（𠲗）,𠱫,（𠲗）,月,ʌt,,,,
姶,姶,,緝,ɔp,,,,
鞥,鞥,,緝,ɔp,,,,
𩋊,𩋊,,葉,ʌp,,,,
礏,礏,,葉,ʌp,,,,
𤸱,𤸱,,葉,ʌp,,,,
胳,胳,,鐸,ʌk,,,,
歌,歌,,歌,ʌl,,,,
謌,謌,,歌,ʌl,,,,
牁,牁,,歌,ʌl,,,,
滒,滒,,歌,ʌl,,,,
哥,哥,,歌,ʌl,,,,
鴚,鴚,,歌,ʌl,,,,
戈,戈,,歌,ʌl,,,,
割,割,,月,ʌt,,,,
鴿,鴿,,緝,ɔp,,,,
革,革,,職,ɔɪk,,,,
諽,諽,,職,ɔɪk,,,,
𦑜,𦑜,,職,ɔɪk,,,,
愅,愅,,職,ɔɪk,,,,
𢯹,𢯹,,職,ɔɪk,,,,
閣,閣,,鐸,ʌk,,,,
格,格,,鐸,ʌk,,,,
𢓜,𢓜,,鐸,ʌk,,,,
茖,茖,,鐸,ʌk,,,,
骼,骼,,鐸,ʌk,,,,
觡,觡,,鐸,ʌk,,,,
鵅（一種猫頭鹰）,鵅,（一種猫頭鹰）,鐸,ʌk,,,,
挌,挌,,鐸,ʌk,,,,
蛒,蛒,,鐸,ʌk,,,,
𠲱,𠲱,,鐸,ʌk,,,,
隔,隔,,錫,ək,,,,
膈,膈,,錫,ək,,,,
槅,槅,,錫,ək,,,,
𧈑（𧈖）,𧈑,（𧈖）,錫,ək,,,,
嗝,嗝,,錫,ək,,,,
葛（葛布，葛藤）,葛,（葛布，葛藤）,月,ʌt,,,,
輵（轇輵）,輵,（轇輵）,月,ʌt,,,,
閤,閤,,緝,ɔp,,,,
鮯,鮯,,緝,ɔp,,,,
蛤,蛤,,緝,ɔp,,,,
頜,頜,,緝,ɔp,,,,
㭘,㭘,,緝,ɔp,,,,
㠷,㠷,,緝,ɔp,,,,
鞈,鞈,,緝,ɔp,,,,
洽（水名）,洽,（水名）,緝,ɔp,,,,
哿,哿,,歌,ʌl,,,,
舸,舸,,歌,ʌl,,,,
笴,笴,,歌,ʌl,,,,
葛（國名，姓）,葛,（國名，姓）,月,ʌt,,,,
獦,獦,,月,ʌt,,,,
𩢛,𩢛,,月,ʌt,,,,
匄（匃，給予）,匄,（匃，給予）,月,ʌt,,,,
𨞛,𨞛,,月,ʌt,,,,
合（量名）,合,（量名）,緝,ɔp,,,,
蓋（地名，姓）,蓋,（地名，姓）,葉,ʌp,,,,
鉀（鉀鑪）,鉀,（鉀鑪）,葉,ʌp,,,,
各,各,,鐸,ʌk,,,,
袼,袼,,鐸,ʌk,,,,
箇,箇,,歌,ʌl,,,,
个,个,,歌,ʌl,,,,
個,個,,歌,ʌl,,,,
柯,柯,,歌,ʌl,,,,
珂,珂,,歌,ʌl,,,,
軻,軻,,歌,ʌl,,,,
苛,苛,,歌,ʌl,,,,
