字符,韵部,韵母,,,,
换,寒,ʌn,,,,
捥,寒,ʌn,,,,
捦,覃,ɔm,,,,
捧,东,ɒŋ,,,,
捨,模,ʌ,,,,
捫,痕,ɔn,,,,
捭,齐,ə,,,,
据,模,ʌ,,,,
捲,"寒,寒","ʌn,ʌn",,,,
捶,歌,ʌl,,,,
捷,"怗,怗","ʌp,ʌp",,,,
捼,歌,ʌl,,,,
捽,没,ɔt,,,,
捾,曷,ʌt,,,,
掀,痕,ɔn,,,,
掃,萧,ɔ,,,,
掄,痕,ɔn,,,,
掇,曷,ʌt,,,,
授,萧,ɔ,,,,
掉,沃,ɔk,,,,
掊,"咍,咍","ɔɪ,ɔɪ",,,,
掌,唐,ʌŋ,,,,
掍,痕,ɔn,,,,
掎,歌,ʌl,,,,
排,灰,ɔl,,,,
掔,先,ən,,,,
掖,铎,ʌk,,,,
掘,没,ɔt,,,,
掛,齐,ə,,,,
掜,齐,ə,,,,
掞,"添,添,添","ʌm,ʌm,ʌm",,,,
掠,唐,ʌŋ,,,,
採,咍,ɔɪ,,,,
探,"覃,覃","ɔm,ɔm",,,,
掣,曷,ʌt,,,,
掤,登,ɔɪŋ,,,,
接,怗,ʌp,,,,
控,"东,东","ɒŋ,ɒŋ",,,,
推,灰,ɔl,,,,
掩,添,ʌm,,,,
措,"铎,铎","ʌk,ʌk",,,,
掫,侯,ɒ,,,,
掬,沃,ɔk,,,,
掸,寒,ʌn,,,,
掺,"覃,覃","ɔm,ɔm",,,,
掼,寒,ʌn,,,,
掾,寒,ʌn,,,,
揀,寒,ʌn,,,,
揃,寒,ʌn,,,,
揄,"侯,侯","ɒ,ɒ",,,,
揅,寒,ʌn,,,,
揆,灰,ɔl,,,,
揉,萧,ɔ,,,,
揍,侯,ɒ,,,,
提,"齐,齐","ə,ə",,,,
插,怗,ʌp,,,,
揕,覃,ɔm,,,,
揖,"合,合","ɔp,ɔp",,,,
揗,痕,ɔn,,,,
揘,唐,ʌŋ,,,,
揚,唐,ʌŋ,,,,
換,寒,ʌn,,,,
揜,添,ʌm,,,,
揞,覃,ɔm,,,,
揟,模,ʌ,,,,
揠,曷,ʌt,,,,
握,屋,ɒk,,,,
揣,"歌,歌,寒","ʌl,ʌl,ʌn",,,,
揤,屑,ət,,,,
揥,锡,ək,,,,
揩,灰,ɔl,,,,
揫,萧,ɔ,,,,
揭,"曷,曷","ʌt,ʌt",,,,
揮,痕,ɔn,,,,
揱,沃,ɔk,,,,
揲,"怗,怗","ʌp,ʌp",,,,
揳,曷,ʌt,,,,
援,"寒,寒,寒","ʌn,ʌn,ʌn",,,,
揵,寒,ʌn,,,,
揽,添,ʌm,,,,
搀,添,ʌm,,,,
搂,侯,ɒ,,,,
搅,沃,ɔk,,,,
搆,侯,ɒ,,,,
搉,沃,ɔk,,,,
損,痕,ɔn,,,,
搏,铎,ʌk,,,,
搐,沃,ɔk,,,,
搒,唐,ʌŋ,,,,
搓,歌,ʌl,,,,
搔,萧,ɔ,,,,
搚,怗,ʌp,,,,
搜,萧,ɔ,,,,
搢,先,ən,,,,
搣,曷,ʌt,,,,
搤,锡,ək,,,,
搥,灰,ɔl,,,,
搦,沃,ɔk,,,,
搫,寒,ʌn,,,,
搯,萧,ɔ,,,,
搰,"没,没","ɔt,ɔt",,,,
搳,曷,ʌt,,,,
搴,寒,ʌn,,,,
搶,唐,ʌŋ,,,,
搷,先,ən,,,,
搹,锡,ək,,,,
摄,怗,ʌp,,,,
摅,模,ʌ,,,,
摆,"歌,歌","ʌl,ʌl",,,,
摇,豪,o,,,,
摈,先,ən,,,,
摋,曷,ʌt,,,,
摎,"萧,萧","ɔ,ɔ",,,,
摏,东,ɒŋ,,,,
摐,东,ɒŋ,,,,
摓,东,ɒŋ,,,,
摕,曷,ʌt,,,,
摘,锡,ək,,,,
摛,歌,ʌl,,,,
摜,寒,ʌn,,,,
摝,屋,ɒk,,,,
摟,侯,ɒ,,,,
摠,东,ɒŋ,,,,
摡,没,ɔt,,,,
摣,模,ʌ,,,,
摦,模,ʌ,,,,
摧,"灰,灰","ɔl,ɔl",,,,
摩,歌,ʌl,,,,
摫,齐,ə,,,,
摭,铎,ʌk,,,,
摮,豪,o,,,,
摯,合,ɔp,,,,
摰,曷,ʌt,,,,
摲,添,ʌm,,,,
摳,侯,ɒ,,,,
摴,模,ʌ,,,,
摵,沃,ɔk,,,,
摶,"寒,寒","ʌn,ʌn",,,,
摷,"豪,豪","o,o",,,,
摹,模,ʌ,,,,
摺,"怗,合","ʌp,ɔp",,,,
摻,"覃,覃","ɔm,ɔm",,,,
摼,先,ən,,,,
摽,"豪,豪","o,o",,,,
撄,青,əŋ,,,,
撅,"曷,曷,曷","ʌt,ʌt,ʌt",,,,
撆,曷,ʌt,,,,
撇,曷,ʌt,,,,
撊,寒,ʌn,,,,
撎,屑,ət,,,,
撐,唐,ʌŋ,,,,
撓,"豪,豪","o,o",,,,
撕,齐,ə,,,,
撙,痕,ɔn,,,,
撚,寒,ʌn,,,,
撜,登,ɔɪŋ,,,,
撝,歌,ʌl,,,,
撞,"东,东","ɒŋ,ɒŋ",,,,
撟,豪,o,,,,
撠,铎,ʌk,,,,
撢,覃,ɔm,,,,
撣,寒,ʌn,,,,
撤,曷,ʌt,,,,
撥,曷,ʌt,,,,
撩,豪,o,,,,
撫,模,ʌ,,,,
播,"歌,歌,歌","ʌl,ʌl,ʌl",,,,
撮,曷,ʌt,,,,
撰,寒,ʌn,,,,
撲,屋,ɒk,,,,
撷,屑,ət,,,,
撻,曷,ʌt,,,,
撼,覃,ɔm,,,,
撽,沃,ɔk,,,,
撿,"添,添","ʌm,ʌm",,,,
擁,"东,东","ɒŋ,ɒŋ",,,,
擅,寒,ʌn,,,,
擇,铎,ʌk,,,,
擉,屋,ɒk,,,,
擊,锡,ək,,,,
操,"豪,豪,豪","o,o,o",,,,
擎,青,əŋ,,,,
擐,寒,ʌn,,,,
擒,覃,ɔm,,,,
擔,"添,添","ʌm,ʌm",,,,
擖,曷,ʌt,,,,
擗,锡,ək,,,,
擘,锡,ək,,,,
據,模,ʌ,,,,
擠,灰,ɔl,,,,
擢,沃,ɔk,,,,
擣,萧,ɔ,,,,
擥,添,ʌm,,,,
擩,侯,ɒ,,,,
擪,怗,ʌp,,,,
擫,怗,ʌp,,,,
擬,咍,ɔɪ,,,,
擭,"铎,铎","ʌk,ʌk",,,,
擯,先,ən,,,,
擴,铎,ʌk,,,,
擷,屑,ət,,,,
擸,怗,ʌp,,,,
擺,歌,ʌl,,,,
擽,沃,ɔk,,,,
擾,萧,ɔ,,,,
擿,"锡,锡","ək,ək",,,,
攀,寒,ʌn,,,,
攄,模,ʌ,,,,
攈,痕,ɔn,,,,
攌,寒,ʌn,,,,
攐,寒,ʌn,,,,
攒,寒,ʌn,,,,
攓,寒,ʌn,,,,
攕,添,ʌm,,,,
攖,青,əŋ,,,,
攘,"唐,唐","ʌŋ,ʌŋ",,,,
攙,添,ʌm,,,,
攜,齐,ə,,,,
攝,怗,ʌp,,,,
攟,痕,ɔn,,,,
攠,歌,ʌl,,,,
攡,歌,ʌl,,,,
攢,寒,ʌn,,,,
攣,寒,ʌn,,,,
攦,齐,ə,,,,
攩,唐,ʌŋ,,,,
攪,沃,ɔk,,,,
攫,铎,ʌk,,,,
攬,添,ʌm,,,,
支,齐,ə,,,,
攲,"歌,歌","ʌl,ʌl",,,,
攴,屋,ɒk,,,,
收,萧,ɔ,,,,
攷,萧,ɔ,,,,
攸,萧,ɔ,,,,
改,咍,ɔɪ,,,,
攻,东,ɒŋ,,,,
攽,痕,ɔn,,,,
放,"唐,唐","ʌŋ,ʌŋ",,,,
政,青,əŋ,,,,
故,模,ʌ,,,,
效,豪,o,,,,
敉,灰,ɔl,,,,
敍,模,ʌ,,,,
敏,咍,ɔɪ,,,,
救,萧,ɔ,,,,
敔,模,ʌ,,,,
敕,德,ɔɪk,,,,
敖,豪,o,,,,
敗,曷,ʌt,,,,
教,"豪,豪","o,o",,,,
敚,曷,ʌt,,,,
敛,添,ʌm,,,,
敜,合,ɔp,,,,
敝,曷,ʌt,,,,
敞,唐,ʌŋ,,,,
敢,添,ʌm,,,,
散,"寒,寒","ʌn,ʌn",,,,
敤,歌,ʌl,,,,
敦,"灰,痕","ɔl,ɔn",,,,
敫,"沃,沃","ɔk,ɔk",,,,
敬,青,əŋ,,,,
敭,唐,ʌŋ,,,,
数,"屋,没,侯,屋","ɒk,ɔt,ɒ,ɒk",,,,
敲,豪,o,,,,
敳,灰,ɔl,,,,
整,青,əŋ,,,,
敵,锡,ək,,,,
敶,先,ən,,,,
敷,模,ʌ,,,,
數,"屋,没,侯,屋","ɒk,ɔt,ɒ,ɒk",,,,
敹,豪,o,,,,
敺,"侯,侯","ɒ,ɒ",,,,
敻,青,əŋ,,,,
斁,"铎,铎","ʌk,ʌk",,,,
斂,添,ʌm,,,,
斃,曷,ʌt,,,,
斄,咍,ɔɪ,,,,
斅,沃,ɔk,,,,
文,"痕,痕","ɔn,ɔn",,,,
斋,灰,ɔl,,,,
斌,痕,ɔn,,,,
斐,灰,ɔl,,,,
斑,寒,ʌn,,,,
斗,侯,ɒ,,,,
料,"豪,豪","o,o",,,,
斛,屋,ɒk,,,,
斜,模,ʌ,,,,
斝,模,ʌ,,,,
斞,侯,ɒ,,,,
斟,覃,ɔm,,,,
斠,屋,ɒk,,,,
斡,"曷,寒","ʌt,ʌn",,,,
斤,痕,ɔn,,,,
斥,铎,ʌk,,,,
斧,模,ʌ,,,,
斨,唐,ʌŋ,,,,
斩,添,ʌm,,,,
斪,侯,ɒ,,,,
斫,铎,ʌk,,,,
斬,添,ʌm,,,,
断,"寒,寒","ʌn,ʌn",,,,
斮,铎,ʌk,,,,
斯,齐,ə,,,,
新,先,ən,,,,
斲,屋,ɒk,,,,
斶,屋,ɒk,,,,
斷,"寒,寒","ʌn,ʌn",,,,
斸,屋,ɒk,,,,
方,唐,ʌŋ,,,,
於,"模,模","ʌ,ʌ",,,,
施,"歌,歌","ʌl,ʌl",,,,
斿,"萧,萧","ɔ,ɔ",,,,
旁,唐,ʌŋ,,,,
旂,痕,ɔn,,,,
旃,寒,ʌn,,,,
旄,豪,o,,,,
旅,模,ʌ,,,,
旆,曷,ʌt,,,,
旊,唐,ʌŋ,,,,
旋,"寒,寒","ʌn,ʌn",,,,
旌,青,əŋ,,,,
旍,青,əŋ,,,,
旎,灰,ɔl,,,,
族,屋,ɒk,,,,
旐,豪,o,,,,
旒,萧,ɔ,,,,
旓,豪,o,,,,
旖,歌,ʌl,,,,
旗,咍,ɔɪ,,,,
旛,寒,ʌn,,,,
旜,寒,ʌn,,,,
旝,曷,ʌt,,,,
旞,没,ɔt,,,,
旟,模,ʌ,,,,
无,模,ʌ,,,,
旡,没,ɔt,,,,
既,没,ɔt,,,,
日,屑,ət,,,,
旦,寒,ʌn,,,,
旧,咍,ɔɪ,,,,
旨,灰,ɔl,,,,
早,萧,ɔ,,,,
旪,怗,ʌp,,,,
旬,"先,先","ən,ən",,,,
旭,沃,ɔk,,,,
旰,"寒,寒","ʌn,ʌn",,,,
旱,寒,ʌn,,,,
旳,沃,ɔk,,,,
时,咍,ɔɪ,,,,
旷,唐,ʌŋ,,,,
旸,唐,ʌŋ,,,,
旹,咍,ɔɪ,,,,
旺,唐,ʌŋ,,,,
旻,痕,ɔn,,,,
昂,唐,ʌŋ,,,,
昃,德,ɔɪk,,,,
昄,寒,ʌn,,,,
昆,"痕,痕","ɔn,ɔn",,,,
昇,登,ɔɪŋ,,,,
昈,模,ʌ,,,,
昉,唐,ʌŋ,,,,
昊,豪,o,,,,
昌,唐,ʌŋ,,,,
明,唐,ʌŋ,,,,
昏,痕,ɔn,,,,
昐,痕,ɔn,,,,
昒,没,ɔt,,,,
易,"锡,锡","ək,ək",,,,
昔,铎,ʌk,,,,
昕,痕,ɔn,,,,
昙,覃,ɔm,,,,
昚,先,ən,,,,
昜,唐,ʌŋ,,,,
昞,唐,ʌŋ,,,,
星,青,əŋ,,,,
映,唐,ʌŋ,,,,
昡,先,ən,,,,
昢,没,ɔt,,,,
春,痕,ɔn,,,,
昦,豪,o,,,,
昧,没,ɔt,,,,
昨,铎,ʌk,,,,
昪,寒,ʌn,,,,
昫,侯,ɒ,,,,
昭,豪,o,,,,
是,齐,ə,,,,
昱,合,ɔp,,,,
昲,没,ɔt,,,,
昳,屑,ət,,,,
昴,萧,ɔ,,,,
昵,屑,ət,,,,
昶,唐,ʌŋ,,,,
昷,痕,ɔn,,,,
昼,侯,ɒ,,,,
显,寒,ʌn,,,,
晁,豪,o,,,,
時,咍,ɔɪ,,,,
晃,唐,ʌŋ,,,,
晄,唐,ʌŋ,,,,
晈,豪,o,,,,
晉,先,ən,,,,
晊,屑,ət,,,,
晏,寒,ʌn,,,,
晐,咍,ɔɪ,,,,
晒,齐,ə,,,,
晓,豪,o,,,,
晔,怗,ʌp,,,,
晕,痕,ɔn,,,,
晖,痕,ɔn,,,,
晙,痕,ɔn,,,,
晚,寒,ʌn,,,,
晛,寒,ʌn,,,,
晜,痕,ɔn,,,,
晝,侯,ɒ,,,,
晞,灰,ɔl,,,,
晟,青,əŋ,,,,
晡,模,ʌ,,,,
晢,曷,ʌt,,,,
晣,曷,ʌt,,,,
晤,模,ʌ,,,,
晦,咍,ɔɪ,,,,
晧,萧,ɔ,,,,
晨,痕,ɔn,,,,
晫,沃,ɔk,,,,
晬,没,ɔt,,,,
普,模,ʌ,,,,
景,"唐,唐","ʌŋ,ʌŋ",,,,
晰,锡,ək,,,,
晲,齐,ə,,,,
晳,锡,ək,,,,
晴,青,əŋ,,,,
晶,青,əŋ,,,,
晷,萧,ɔ,,,,
智,齐,ə,,,,
晻,"添,添,添","ʌm,ʌm,ʌm",,,,
晼,寒,ʌn,,,,
暀,唐,ʌŋ,,,,
暂,添,ʌm,,,,
暄,寒,ʌn,,,,
暆,歌,ʌl,,,,
暇,"模,模","ʌ,ʌ",,,,
暈,痕,ɔn,,,,
暉,痕,ɔn,,,,
暋,"先,先","ən,ən",,,,
暍,曷,ʌt,,,,
暑,模,ʌ,,,,
暒,青,əŋ,,,,
暖,寒,ʌn,,,,
暗,覃,ɔm,,,,
暘,唐,ʌŋ,,,,
暝,青,əŋ,,,,
暠,豪,o,,,,
暢,唐,ʌŋ,,,,
暧,没,ɔt,,,,
暨,没,ɔt,,,,
暫,添,ʌm,,,,
暬,曷,ʌt,,,,
暮,铎,ʌk,,,,
暱,德,ɔɪk,,,,
暴,"沃,沃","ɔk,ɔk",,,,
暵,寒,ʌn,,,,
暾,痕,ɔn,,,,
曀,屑,ət,,,,
曃,屑,ət,,,,
曄,怗,ʌp,,,,
曆,锡,ək,,,,
曇,覃,ɔm,,,,
曈,东,ɒŋ,,,,
曉,豪,o,,,,
曏,唐,ʌŋ,,,,
曒,豪,o,,,,
曖,没,ɔt,,,,
曙,模,ʌ,,,,
曛,痕,ɔn,,,,
曜,沃,ɔk,,,,
曝,沃,ɔk,,,,
曠,唐,ʌŋ,,,,
曩,唐,ʌŋ,,,,
曬,齐,ə,,,,
曭,唐,ʌŋ,,,,
曮,添,ʌm,,,,
曰,曷,ʌt,,,,
曲,"屋,屋","ɒk,ɒk",,,,
曳,曷,ʌt,,,,
更,"唐,唐","ʌŋ,ʌŋ",,,,
曶,没,ɔt,,,,
曷,曷,ʌt,,,,
書,模,ʌ,,,,
曹,萧,ɔ,,,,
曼,"寒,寒","ʌn,ʌn",,,,
曾,"登,登","ɔɪŋ,ɔɪŋ",,,,
替,屑,ət,,,,
最,曷,ʌt,,,,
朁,覃,ɔm,,,,
會,"曷,曷","ʌt,ʌt",,,,
朅,曷,ʌt,,,,
月,曷,ʌt,,,,
有,咍,ɔɪ,,,,
朋,登,ɔɪŋ,,,,
朌,痕,ɔn,,,,
服,德,ɔɪk,,,,
朏,没,ɔt,,,,
朐,"侯,侯","ɒ,ɒ",,,,
朒,沃,ɔk,,,,
朓,"豪,豪","o,o",,,,
朔,铎,ʌk,,,,
朕,覃,ɔm,,,,
朗,唐,ʌŋ,,,,
朘,"灰,痕","ɔl,ɔn",,,,
望,唐,ʌŋ,,,,
朝,"豪,豪","o,o",,,,
朞,咍,ɔɪ,,,,
期,咍,ɔɪ,,,,
朡,东,ɒŋ,,,,
朦,东,ɒŋ,,,,
木,屋,ɒk,,,,
未,没,ɔt,,,,
末,曷,ʌt,,,,
本,痕,ɔn,,,,
札,曷,ʌt,,,,
术,"没,没","ɔt,ɔt",,,,
朱,侯,ɒ,,,,
朴,屋,ɒk,,,,
朵,歌,ʌl,,,,
朸,德,ɔɪk,,,,
朹,"萧,萧","ɔ,ɔ",,,,
机,灰,ɔl,,,,
朻,萧,ɔ,,,,
朼,灰,ɔl,,,,
朽,萧,ɔ,,,,
朾,青,əŋ,,,,
朿,锡,ək,,,,
杀,"曷,曷","ʌt,ʌt",,,,
杂,合,ɔp,,,,
权,寒,ʌn,,,,
杅,模,ʌ,,,,
杆,寒,ʌn,,,,
杇,模,ʌ,,,,
杈,歌,ʌl,,,,
杌,没,ɔt,,,,
李,咍,ɔɪ,,,,
杏,唐,ʌŋ,,,,
材,咍,ɔɪ,,,,
杓,"沃,沃,豪","ɔk,ɔk,o",,,,
杕,曷,ʌt,,,,
杖,唐,ʌŋ,,,,
杗,唐,ʌŋ,,,,
杘,灰,ɔl,,,,
杙,德,ɔɪk,,,,
杚,没,ɔt,,,,
杜,模,ʌ,,,,
杝,"歌,歌,歌","ʌl,ʌl,ʌl",,,,
杞,咍,ɔɪ,,,,
束,屋,ɒk,,,,
杠,东,ɒŋ,,,,
条,萧,ɔ,,,,
来,咍,ɔɪ,,,,
杨,唐,ʌŋ,,,,
杪,豪,o,,,,
杫,咍,ɔɪ,,,,
杬,寒,ʌn,,,,
杭,唐,ʌŋ,,,,
杮,曷,ʌt,,,,
杯,咍,ɔɪ,,,,
東,东,ɒŋ,,,,
杲,豪,o,,,,
杳,豪,o,,,,
杵,模,ʌ,,,,
杶,痕,ɔn,,,,
杷,模,ʌ,,,,
杸,侯,ɒ,,,,
杻,萧,ɔ,,,,
杼,"模,模","ʌ,ʌ",,,,
松,东,ɒŋ,,,,
板,寒,ʌn,,,,
极,合,ɔp,,,,
构,侯,ɒ,,,,
枅,灰,ɔl,,,,
枇,"灰,灰,灰","ɔl,ɔl,ɔl",,,,
枉,唐,ʌŋ,,,,
枊,唐,ʌŋ,,,,
枋,唐,ʌŋ,,,,
枌,痕,ɔn,,,,
枍,齐,ə,,,,
枎,模,ʌ,,,,
枏,添,ʌm,,,,
析,锡,ək,,,,
枑,模,ʌ,,,,
枒,模,ʌ,,,,
枓,侯,ɒ,,,,
枕,"覃,覃","ɔm,ɔm",,,,
林,覃,ɔm,,,,
枘,合,ɔp,,,,
枚,灰,ɔl,,,,
果,歌,ʌl,,,,
枝,齐,ə,,,,
枞,东,ɒŋ,,,,
枢,"侯,侯","ɒ,ɒ",,,,
枣,萧,ɔ,,,,
枥,锡,ək,,,,
枨,唐,ʌŋ,,,,
枪,"唐,唐","ʌŋ,ʌŋ",,,,
枫,冬,ɔŋ,,,,
枭,豪,o,,,,
枯,模,ʌ,,,,
枰,青,əŋ,,,,
枱,咍,ɔɪ,,,,
枲,咍,ɔɪ,,,,
枳,齐,ə,,,,
枵,豪,o,,,,
架,歌,ʌl,,,,
枷,歌,ʌl,,,,
枸,"侯,侯,侯","ɒ,ɒ,ɒ",,,,
枹,"萧,萧","ɔ,ɔ",,,,
枻,曷,ʌt,,,,
枼,怗,ʌp,,,,
枿,没,ɔt,,,,
柀,歌,ʌl,,,,
柁,歌,ʌl,,,,
柂,歌,ʌl,,,,
柃,青,əŋ,,,,
柄,唐,ʌŋ,,,,
柅,灰,ɔl,,,,
柈,寒,ʌn,,,,
柍,"唐,唐","ʌŋ,ʌŋ",,,,
柎,"侯,侯","ɒ,ɒ",,,,
柏,铎,ʌk,,,,
某,"咍,咍","ɔɪ,ɔɪ",,,,
柑,添,ʌm,,,,
柒,屑,ət,,,,
染,添,ʌm,,,,
柔,萧,ɔ,,,,
柖,豪,o,,,,
柘,铎,ʌk,,,,
柙,怗,ʌp,,,,
柚,"沃,萧","ɔk,ɔ",,,,
柛,先,ən,,,,
柜,模,ʌ,,,,
柝,铎,ʌk,,,,
柞,"铎,铎","ʌk,ʌk",,,,
柟,"添,添","ʌm,ʌm",,,,
柢,灰,ɔl,,,,
柣,"屑,屑","ət,ət",,,,
柤,模,ʌ,,,,
柧,模,ʌ,,,,
柩,咍,ɔɪ,,,,
柫,没,ɔt,,,,
柬,寒,ʌn,,,,
柭,曷,ʌt,,,,
柮,没,ɔt,,,,
柯,歌,ʌl,,,,
柰,曷,ʌt,,,,
柱,"侯,侯","ɒ,ɒ",,,,
柲,屑,ət,,,,
柳,萧,ɔ,,,,
柴,"齐,齐","ə,ə",,,,
柶,屑,ət,,,,
柷,沃,ɔk,,,,
柽,青,əŋ,,,,
栀,齐,ə,,,,
标,豪,o,,,,
栈,寒,ʌn,,,,
栉,屑,ət,,,,
栊,东,ɒŋ,,,,
栋,东,ɒŋ,,,,
栌,模,ʌ,,,,
栎,沃,ɔk,,,,
栏,"寒,寒","ʌn,ʌn",,,,
树,侯,ɒ,,,,
栒,"先,先","ən,ən",,,,
栔,曷,ʌt,,,,
栖,"灰,灰","ɔl,ɔl",,,,
栗,屑,ət,,,,
栘,歌,ʌl,,,,
栙,冬,ɔŋ,,,,
栚,覃,ɔm,,,,
栝,"曷,添","ʌt,ʌm",,,,
栞,寒,ʌn,,,,
栟,青,əŋ,,,,
校,"豪,豪","o,o",,,,
栧,曷,ʌt,,,,
栩,模,ʌ,,,,
株,侯,ɒ,,,,
栫,痕,ɔn,,,,
栭,咍,ɔɪ,,,,
栯,咍,ɔɪ,,,,
栰,曷,ʌt,,,,
栱,东,ɒŋ,,,,
栲,萧,ɔ,,,,
栵,曷,ʌt,,,,
核,"德,德","ɔɪk,ɔɪk",,,,
根,痕,ɔn,,,,
栻,德,ɔɪk,,,,
格,铎,ʌk,,,,
栽,"咍,咍","ɔɪ,ɔɪ",,,,
栾,寒,ʌn,,,,
桀,曷,ʌt,,,,
桁,"唐,唐","ʌŋ,ʌŋ",,,,
桂,齐,ə,,,,
桃,豪,o,,,,
桄,唐,ʌŋ,,,,
桅,齐,ə,,,,
案,寒,ʌn,,,,
桊,寒,ʌn,,,,
桋,"灰,灰","ɔl,ɔl",,,,
桎,屑,ət,,,,
桐,东,ɒŋ,,,,
桑,唐,ʌŋ,,,,
桓,寒,ʌn,,,,
桔,"屑,屑","ət,ət",,,,
桡,"豪,豪","o,o",,,,
桢,"青,青","əŋ,əŋ",,,,
桥,豪,o,,,,
桧,曷,ʌt,,,,
桬,歌,ʌl,,,,
桭,痕,ɔn,,,,
桮,咍,ɔɪ,,,,
桯,"青,青","əŋ,əŋ",,,,
桰,曷,ʌt,,,,
桲,没,ɔt,,,,
桴,萧,ɔ,,,,
桵,灰,ɔl,,,,
桶,东,ɒŋ,,,,
桷,屋,ɒk,,,,
桹,唐,ʌŋ,,,,
桼,屑,ət,,,,
梀,屋,ɒk,,,,
梁,唐,ʌŋ,,,,
梂,萧,ɔ,,,,
梃,青,əŋ,,,,
梅,咍,ɔɪ,,,,
梏,"沃,沃","ɔk,ɔk",,,,
梐,灰,ɔl,,,,
梓,咍,ɔɪ,,,,
梗,唐,ʌŋ,,,,
梜,怗,ʌp,,,,
條,萧,ɔ,,,,
梟,豪,o,,,,
梠,模,ʌ,,,,
梡,"寒,寒","ʌn,ʌn",,,,
梢,"豪,豪","o,o",,,,
梣,覃,ɔm,,,,
梤,痕,ɔn,,,,
梦,"登,登","ɔɪŋ,ɔɪŋ",,,,
梧,模,ʌ,,,,
梩,咍,ɔɪ,,,,
梪,侯,ɒ,,,,
梫,覃,ɔm,,,,
梬,青,əŋ,,,,
梭,"歌,痕","ʌl,ɔn",,,,
梮,屋,ɒk,,,,
梯,灰,ɔl,,,,
械,德,ɔɪk,,,,
梱,"痕,痕","ɔn,ɔn",,,,
梳,模,ʌ,,,,
梴,寒,ʌn,,,,
梵,冬,ɔŋ,,,,
梼,萧,ɔ,,,,
梿,"寒,寒","ʌn,ʌn",,,,
检,添,ʌm,,,,
棁,"曷,曷","ʌt,ʌt",,,,
棃,灰,ɔl,,,,
棄,屑,ət,,,,
棅,唐,ʌŋ,,,,
棆,痕,ɔn,,,,
棊,咍,ɔɪ,,,,
棋,咍,ɔɪ,,,,
棌,咍,ɔɪ,,,,
棍,痕,ɔn,,,,
棐,灰,ɔl,,,,
棓,"咍,东","ɔɪ,ɒŋ",,,,
棖,唐,ʌŋ,,,,
棗,萧,ɔ,,,,
棘,德,ɔɪk,,,,
棚,登,ɔɪŋ,,,,
棜,模,ʌ,,,,
棟,东,ɒŋ,,,,
棠,唐,ʌŋ,,,,
棣,屑,ət,,,,
棧,寒,ʌn,,,,
棨,灰,ɔl,,,,
棪,添,ʌm,,,,
棫,德,ɔɪk,,,,
棬,"寒,寒","ʌn,ʌn",,,,
森,覃,ɔm,,,,
棯,覃,ɔm,,,,
棰,歌,ʌl,,,,
棱,登,ɔɪŋ,,,,
棲,"灰,灰","ɔl,ɔl",,,,
棳,曷,ʌt,,,,
棷,侯,ɒ,,,,
棸,侯,ɒ,,,,
棹,沃,ɔk,,,,
棺,寒,ʌn,,,,
棻,痕,ɔn,,,,
棼,痕,ɔn,,,,
棽,覃,ɔm,,,,
棿,"齐,齐","ə,ə",,,,
椁,铎,ʌk,,,,
椄,"怗,怗","ʌp,ʌp",,,,
椅,歌,ʌl,,,,
椆,萧,ɔ,,,,
椇,侯,ɒ,,,,
椈,沃,ɔk,,,,
椉,"登,登","ɔɪŋ,ɔɪŋ",,,,
椋,唐,ʌŋ,,,,
椌,东,ɒŋ,,,,
植,德,ɔɪk,,,,
椎,"灰,灰","ɔl,ɔl",,,,
椐,模,ʌ,,,,
椑,"锡,齐,齐","ək,ə,ə",,,,
椒,萧,ɔ,,,,
椓,屋,ɒk,,,,
椔,咍,ɔɪ,,,,
椟,屋,ɒk,,,,
椠,添,ʌm,,,,
椭,歌,ʌl,,,,
椲,灰,ɔl,,,,
椳,灰,ɔl,,,,
椴,寒,ʌn,,,,
椵,模,ʌ,,,,
椶,东,ɒŋ,,,,
椷,"覃,覃","ɔm,ɔm",,,,
椸,歌,ʌl,,,,
椹,覃,ɔm,,,,
椽,寒,ʌn,,,,
椿,痕,ɔn,,,,
楀,模,ʌ,,,,
楄,先,ən,,,,
楅,德,ɔɪk,,,,
楇,歌,ʌl,,,,
楈,模,ʌ,,,,
楊,唐,ʌŋ,,,,
楎,"痕,痕","ɔn,ɔn",,,,
楑,灰,ɔl,,,,
楓,冬,ɔŋ,,,,
楔,曷,ʌt,,,,
楖,屑,ət,,,,
楗,寒,ʌn,,,,
楘,屋,ɒk,,,,
楙,侯,ɒ,,,,
楚,模,ʌ,,,,
楛,模,ʌ,,,,
楝,寒,ʌn,,,,
楟,"青,青","əŋ,əŋ",,,,
楠,覃,ɔm,,,,
楢,萧,ɔ,,,,
楣,灰,ɔl,,,,
楥,"寒,寒","ʌn,ʌn",,,,
楨,"青,青","əŋ,əŋ",,,,
楩,寒,ʌn,,,,
楪,怗,ʌp,,,,
楫,合,ɔp,,,,
楬,"曷,曷","ʌt,ʌt",,,,
業,怗,ʌp,,,,
楮,模,ʌ,,,,
楯,痕,ɔn,,,,
楰,侯,ɒ,,,,
楱,侯,ɒ,,,,
楲,灰,ɔl,,,,
極,德,ɔɪk,,,,
楶,屑,ət,,,,
楷,"灰,灰","ɔl,ɔl",,,,
楸,萧,ɔ,,,,
楹,青,əŋ,,,,
楼,侯,ɒ,,,,
概,没,ɔt,,,,
